Player,Routes,YDS/RT,Open_Score,Catch_Score,Yac_Score,Overall_Score
Stefon Diggs,634,2.9,84,84,55,91
Justin Jefferson,461,3,78,75,69,89
Davante Adams,455,3.3,99,61,46,88
Jakobi Meyers,269,2.7,99,63,42,88
A.J. Brown,399,2.9,72,64,76,82
Calvin Ridley,512,2.7,90,63,49,81
Tyreek Hill,620,2.6,79,50,66,76
DeAndre Hopkins,533,2.6,69,65,60,74
Rashard Higgins,306,2.3,76,71,43,74
Sterling Shepard,345,1.9,77,72,40,74
Darren Waller,448,2.7,73,68,50,73
George Kittle,184,3.4,64,58,70,71
Willie Snead,310,1.5,75,48,61,70
Julio Jones,268,2.9,49,71,70,69
Adam Thielen,435,2.1,67,69,48,69
Mike Evans,605,2,65,71,48,69
Cole Beasley,511,2.2,62,78,41,68
Amari Cooper,538,2.1,64,66,51,68
Brandin Cooks,504,2.3,69,57,52,67
Chase Claypool,425,2.2,68,44,67,66
DK Metcalf,597,2.3,69,43,63,65
Corey Davis,359,2.7,55,65,58,64
Allen Robinson,560,2.3,65,70,39,64
Will Fuller,343,2.6,64,51,56,62
Emmanuel Sanders,373,2.1,68,62,38,62
Travis Kelce,580,3.1,55,65,51,61
Diontae Johnson,498,2.1,92,20,49,61
Tim Patrick,386,1.9,42,83,50,61
John Brown,364,1.5,56,50,67,61
Kendrick Bourne,390,1.7,51,60,60,60
Jarvis Landry,402,2.4,53,57,57,59
Antonio Brown,253,2.2,58,52,55,59
Cooper Kupp,441,2.4,41,66,63,58
Michael Thomas,231,2.2,61,56,44,58
Marquise Brown,474,2,73,35,51,58
Brandon Aiyuk,375,2,53,48,66,58
Tre'Quan Smith,362,1.5,51,48,68,58
Dallas Goedert,257,2,54,57,53,57
James Washington,264,1.8,49,44,73,57
Travis Fulgham,312,1.7,57,55,51,57
Robbie Anderson,471,2.3,64,47,49,56
Curtis Samuel,374,2.3,59,61,38,56
Tee Higgins,434,2.1,53,49,61,56
Chris Conley,268,1.8,50,48,66,56
Robert Tonyan,360,1.9,41,80,40,55
Marvin Jones,536,1.8,37,75,51,55
Jared Cook,333,1.7,46,51,65,55
Allen Lazard,280,2.2,61,34,60,54
DeVante Parker,403,2,39,67,55,54
Tyler Lockett,590,1.9,65,54,33,54
T.Y. Hilton,408,1.9,56,45,54,53
Christian Kirk,435,1.4,50,62,43,53
Nelson Agholor,376,2.4,46,51,58,52
Cameron Brate,197,2.3,53,68,30,52
Laviska Shenault,317,1.9,43,56,57,52
Michael Pittman,336,1.8,46,31,79,52
Terry McLaurin,553,2.2,50,45,58,51
D.J. Chark,411,1.7,47,54,52,51
Austin Hooper,293,1.7,57,58,35,51
Chris Godwin,476,2.3,46,55,50,50
Mark Andrews,371,2.1,66,31,48,50
Scott Miller,293,2,64,50,30,50
Tyler Boyd,451,1.9,45,55,50,50
Jamison Crowder,338,2.1,51,51,45,49
Robert Woods,528,2,46,54,47,48
Hunter Henry,402,1.5,39,55,55,48
D.J. Moore,468,2.5,55,28,60,47
Keenan Allen,447,2.2,55,48,39,47
Rob Gronkowski,388,1.9,40,54,55,47
Tyler Higbee,295,1.8,33,57,60,47
Mike Williams,423,1.8,30,66,54,47
Anthony Miller,400,1.3,51,53,39,47
Dawson Knox,284,1.2,44,47,55,47
N'Keal Harry,261,1.2,41,48,59,47
Hunter Renfrow,316,2.1,52,39,51,46
Darnell Mooney,469,1.3,47,41,56,46
Breshad Perriman,311,1.6,50,35,55,45
Danny Amendola,287,2.1,39,51,50,44
CeeDee Lamb,447,2.1,47,47,44,44
Mecole Hardman,362,1.7,50,21,68,44
Michael Gallup,547,1.5,43,46,51,44
Dalton Schultz,461,1.3,47,38,54,44
Logan Thomas,560,1.3,41,45,54,44
Demarcus Robinson,505,1,36,57,47,44
Cam Sims,388,1.5,23,52,70,43
Damiere Byrd,393,1.5,52,39,40,41
Keelan Cole,483,1.3,39,50,44,40
Anthony Firkser,230,1.9,26,61,49,39
Russell Gage,460,1.7,54,25,49,39
Gerald Everett,265,1.6,40,33,58,39
Darius Slayton,508,1.5,42,37,50,39
Mike Gesicki,388,1.8,28,61,41,38
Josh Reynolds,450,1.5,28,49,55,38
Greg Ward,430,1,46,42,37,38
Marquez Valdes-Scantling,432,1.9,34,31,66,37
Jerry Jeudy,464,1.8,50,17,58,37
Larry Fitzgerald,370,1.1,37,48,40,37
Noah Fant,361,1.9,36,35,56,36
JuJu Smith-Schuster,598,1.7,26,55,47,36
Gabe Davis,443,1.5,32,44,52,36
Zach Pascal,429,1.6,35,36,53,35
Jimmy Graham,345,1.4,25,59,43,35
Tyler Eifert,319,1.1,31,43,51,35
T.J. Hockenson,397,1.8,44,35,33,32
Jalen Guyton,510,1,25,39,57,32
K.J. Hamler,296,1.3,52,14,44,31
Zach Ertz,300,1.1,60,17,31,31
Sammy Watkins,307,1.4,33,40,39,30
A.J. Green,457,1.1,33,23,52,27
Eric Ebron,418,1.5,37,8,49,21
Hayden Hurst,469,1.2,23,36,34,19
Evan Engram,445,1.5,36,0,51,12
Jonnu Smith,270,1.7,15,13,51,10